iter	Passed	Remaining
0	1	190
1	3	163
2	4	150
3	5	134
4	6	131
5	8	128
6	9	127
7	10	125
8	15	158
9	16	152
10	18	146
11	19	139
12	20	135
13	21	130
14	22	126
15	23	122
16	24	120
17	25	116
18	26	114
19	28	115
20	29	112
21	31	109
22	32	108
23	33	105
24	34	103
25	35	101
26	36	99
27	37	96
28	38	94
29	39	92
30	42	95
31	44	93
32	45	91
33	46	89
34	47	87
35	48	85
36	49	83
37	50	82
38	51	80
39	52	79
40	55	79
41	55	77
42	57	76
43	59	76
44	61	74
45	62	73
46	63	71
47	65	71
48	66	69
49	71	71
50	73	70
51	74	68
52	75	66
53	76	65
54	77	63
55	78	61
56	79	60
57	80	58
58	81	56
59	82	55
60	87	55
61	88	54
62	89	52
63	90	51
64	91	49
65	92	47
66	93	46
67	94	44
68	96	43
69	98	42
70	101	41
71	102	40
72	104	38
73	106	37
74	107	35
75	108	34
76	109	32
77	110	31
78	111	29
79	112	28
80	114	26
81	116	25
82	118	24
83	119	22
84	120	21
85	121	19
86	122	18
87	123	16
88	125	15
89	127	14
90	134	13
91	136	11
92	137	10
93	138	8
94	139	7
95	140	5
96	141	4
97	142	2
98	146	1
99	148	0
