iter	Passed	Remaining
0	148	148602
1	149	74810
2	150	50159
3	151	37828
4	153	30558
5	154	25608
6	156	22198
7	157	19589
8	159	17529
9	160	15858
10	161	14489
11	162	13349
12	163	12384
13	164	11563
14	165	10849
15	166	10221
16	172	9988
17	174	9503
18	175	9078
19	176	8666
20	177	8294
21	178	7953
22	179	7641
23	180	7354
24	181	7091
25	186	6969
26	188	6799
27	189	6585
28	190	6385
29	191	6198
30	192	6022
31	193	5858
32	194	5705
33	195	5562
34	196	5425
35	197	5295
36	200	5229
37	202	5124
38	203	5013
39	204	4906
40	205	4806
41	206	4710
42	207	4618
43	208	4530
44	209	4445
45	210	4364
46	217	4409
47	219	4343
48	220	4276
49	221	4213
50	223	4152
51	224	4091
52	225	4032
53	231	4055
54	232	3996
55	233	3937
56	234	3881
57	235	3826
58	236	3773
59	237	3722
60	238	3672
61	240	3631
62	241	3585
63	246	3606
64	247	3566
65	249	3532
66	250	3494
67	252	3456
68	253	3420
69	254	3383
70	255	3349
71	263	3398
72	265	3374
73	266	3337
74	267	3304
75	268	3269
76	269	3234
77	270	3200
78	271	3168
79	275	3163
80	278	3158
81	279	3129
82	279	3093
83	280	3063
84	281	3034
85	282	3005
86	283	2977
87	284	2952
88	285	2926
89	286	2900
90	292	2923
91	294	2903
92	296	2887
93	297	2863
94	298	2839
95	299	2816
96	300	2800
97	302	2787
98	310	2822
99	311	2804
100	312	2785
101	314	2769
102	316	2752
103	317	2734
104	318	2716
105	326	2750
106	327	2731
107	329	2721
108	330	2704
109	332	2688
110	333	2672
111	338	2681
112	340	2671
113	342	2661
114	343	2646
115	345	2631
116	346	2613
117	347	2598
118	354	2623
119	355	2610
120	358	2601
121	359	2587
122	360	2572
123	362	2558
124	363	2544
125	364	2531
126	372	2561
127	374	2548
128	376	2540
129	378	2529
130	379	2517
131	380	2503
132	387	2525
133	389	2515
134	390	2503
135	392	2490
136	393	2478
137	395	2467
138	396	2455
139	401	2468
140	403	2456
141	404	2441
142	405	2432
143	407	2420
144	408	2410
145	410	2401
146	413	2399
147	417	2400
148	418	2391
149	420	2383
150	422	2376
151	424	2369
152	426	2360
153	431	2373
154	433	2364
155	435	2356
156	437	2346
157	438	2336
158	439	2326
159	441	2315
160	442	2303
161	448	2320
162	449	2310
163	453	2310
164	454	2300
165	455	2289
166	457	2279
167	461	2286
168	464	2282
169	466	2276
170	467	2268
171	470	2263
172	471	2255
173	473	2246
174	476	2246
175	478	2239
176	480	2234
177	482	2227
178	483	2218
179	485	2211
180	491	2222
181	492	2214
182	494	2206
183	496	2199
184	497	2193
185	499	2184
186	501	2181
187	507	2192
188	509	2184
189	510	2176
190	511	2168
191	513	2161
192	515	2153
193	516	2147
194	522	2155
195	523	2148
196	525	2143
197	527	2138
198	529	2130
199	530	2122
200	532	2115
201	537	2123
202	539	2116
203	540	2108
204	541	2101
205	543	2093
206	544	2086
207	546	2080
208	547	2072
209	551	2073
210	552	2067
211	554	2061
212	556	2055
213	557	2047
214	558	2040
215	560	2035
216	562	2028
217	569	2042
218	571	2037
219	573	2032
220	574	2026
221	576	2021
222	578	2014
223	583	2020
224	585	2016
225	587	2010
226	588	2003
227	591	2001
228	592	1994
229	593	1988
230	599	1996
231	603	1998
232	605	1992
233	606	1986
234	608	1979
235	609	1973
236	615	1981
237	616	1975
238	618	1968
239	619	1961
240	621	1956
241	622	1949
242	623	1942
243	625	1938
244	627	1933
245	628	1927
246	630	1920
247	631	1914
248	632	1908
249	634	1902
250	635	1896
251	643	1908
252	644	1903
253	646	1897
